2021-0001,Adam,Johnson,BSCS,adam.johnson@g.msuiit.edu.ph
2021-0002,Bella,Smith,BSIT,bella.smith@g.msuiit.edu.ph
2021-0003,Charlie,Williams,BSIS,charlie.williams@g.msuiit.edu.ph
2021-0004,Daisy,Jones,BSCS,daisy.jones@g.msuiit.edu.ph
2021-0005,Ethan,Miller,BSIT,ethan.miller@g.msuiit.edu.ph
2021-0006,Fiona,Turner,BSIS,fiona.turner@g.msuiit.edu.ph
2021-0007,George,Brown,BSCS,george.brown@g.msuiit.edu.ph
2021-0008,Hannah,Anderson,BSIT,hannah.anderson@g.msuiit.edu.ph
2021-0009,Ian,Cooper,BSIS,ian.cooper@g.msuiit.edu.ph
2021-0010,Jasmine,Ward,BSCS,jasmine.ward@g.msuiit.edu.ph
2021-0011,Kevin,Clark,BSIT,kevin.clark@g.msuiit.edu.ph
2021-0012,Lily,Martin,BSIS,lily.martin@g.msuiit.edu.ph
2021-0013,Mason,Turner,BSCS,mason.turner@g.msuiit.edu.ph
2021-0014,Nina,Hall,BSIT,nina.hall@g.msuiit.edu.ph
2021-0015,Oscar,Wilson,BSIS,oscar.wilson@g.msuiit.edu.ph
2021-0016,Pamela,Cooper,BSCS,pamela.cooper@g.msuiit.edu.ph
2021-0017,Quinn,Young,BSIT,quinn.young@g.msuiit.edu.ph
2021-0018,Ryan,Knight,BSIS,ryan.knight@g.msuiit.edu.ph
2021-0019,Sophie,Hall,BSCS,sophie.hall@g.msuiit.edu.ph
2021-0020,Tom,Watson,BSIT,tom.watson@g.msuiit.edu.ph
2021-0021,Isaac,Parker,BSIS,isaac.parker@g.msuiit.edu.ph
2021-0022,Julia,Fisher,BSIT,julia.fisher@g.msuiit.edu.ph
2021-0023,Kyle,Harris,BSCS,kyle.harris@g.msuiit.edu.ph
2021-0024,Luna,Evans,BSIT,luna.evans@g.msuiit.edu.ph
2021-0025,Milo,Cruz,BSIS,milo.cruz@g.msuiit.edu.ph
2021-0026,Natalie,Ward,BSCS,natalie.ward@g.msuiit.edu.ph
2021-0027,Owen,Barnes,BSIT,owen.barnes@g.msuiit.edu.ph
2021-0028,Penelope,Allen,BSIS,penelope.allen@g.msuiit.edu.ph
2021-0029,Quentin,Turner,BSCS,quentin.turner@g.msuiit.edu.ph
2021-0030,Rachel,Jones,BSIT,rachel.jones@g.msuiit.edu.ph
2021-0031,Samuel,Smith,BSIS,samuel.smith@g.msuiit.edu.ph
2021-0032,Tara,Hall,BSCS,tara.hall@g.msuiit.edu.ph
2021-0033,Ulysses,Knight,BSIT,ulysses.knight@g.msuiit.edu.ph
2021-0034,Violet,Martin,BSIS,violet.martin@g.msuii  ==t.edu.ph
2021-0035,Winston,Cooper,BSCS,winston.cooper@g.msuiit.edu.ph
2021-0036,Xena,Young,BSIT,xena.young@g.msuiit.edu.ph
2021-0037,Yuri,Knight,BSIS,yuri.knight@g.msuiit.edu.ph
2021-0038,Zara,Hall,BSCS,zara.hall@g.msuiit.edu.ph
2021-0039,Ashton,Turner,BSIT,ashton.turner@g.msuiit.edu.ph
2021-0040,Bianca,Watson,BSIS,bianca.watson@g.msuiit.edu.ph
